"Area Served","Callsign","Frequency(MHz)","Purpose","Polarisation","Antenna Height (m)","Antenna Pattern","Maximum ERP (W)","Technical Specification Number","Licence Number","Site id","Site Name","Zone","Easting","Northing","Latitude","Longitude","State","BSL","Licence Area","Licence Area ID","Status"
"Adelaide","5ADL","91.9","Commercial","M","60","DA","20000","10010794","1170890","23139","Broadcast Australia Site Summit Road CRAFERS","0","0","0","34 58 44S","138 42 31E","SA","1150783","ADELAIDE RA1","","Issued"
"Adelaide","5FBI","92.7","Community","M","45","DA","20000","3371001","1170715","23158","FM tower Broadcast Australia site Summit Road CRAFERS","0","0","0","34 58 48S","138 42 28E","SA","1150740","ADELAIDE RA1","","Issued"
"Adelaide","5DDD","93.7","Community","M","45","OD","6300","3076001","1385198","23158","FM tower Broadcast Australia site Summit Road CRAFERS","0","0","0","34 58 48S","138 42 28E","SA","3076","ADELAIDE RA1","","Issued"
"Adelaide","5UV","101.5","Community","M","60","DA","20000","6457001","1156865","23139","Broadcast Australia Site Summit Road CRAFERS","0","0","0","34 58 44S","138 42 31E","SA","4229","ADELAIDE RA1","","Issued"
"Adelaide","5ADD","102.3","Commercial","M","60","DA","20000","4191001","1911525","23132","TXA NWS Site Tower 109 Summit Road CRAFERS","0","0","0","34 58 57S","138 42 30E","SA","4191","ADELAIDE RA1","","Issued"
"Adelaide","5EBI","103.1","Community","M","45","DA","20000","3074002","1385199","23158","FM tower Broadcast Australia site Summit Road CRAFERS","0","0","0","34 58 48S","138 42 28E","SA","3074","ADELAIDE RA1","","Issued"
"Adelaide","5ABCFM","103.9","National","M","104","OD","32000","3021001","1198423","23139","Broadcast Australia Site Summit Road CRAFERS","0","0","0","34 58 44S","138 42 31E","SA","","","","Issued"
"Adelaide","5MMM","104.7","Commercial","M","66","DA","20000","4192601","1153756","23181","TXA Crafers Site Tower 115 Mount Lofty Summit Road CRAFERS","0","0","0","34 58 52S","138 42 29E","SA","4192","ADELAIDE RA1","","Issued"
"Adelaide","5MMM","104.7","Commercial","V","73","DA","690","4192601","1153756","9024286","Southern Cross Austereo 70 Franklin Street ADELAIDE","0","0","0","34 55 40S","138 35 49E","SA","4192","ADELAIDE RA1","","Issued"
"Adelaide","5MMM","104.7","Commercial","M","60","DA","20000","4192601","1153756","23132","TXA NWS Site Tower 109 Summit Road CRAFERS","0","0","0","34 58 57S","138 42 30E","SA","4192","ADELAIDE RA1","","Issued"
"Adelaide","5JJJ","105.5","National","M","104","OD","32000","3997001","1198426","23139","Broadcast Australia Site Summit Road CRAFERS","0","0","0","34 58 44S","138 42 31E","SA","","","","Issued"
"Adelaide","5SBSFM","106.3","National","M","104","OD","32000","6879001","1198293","23139","Broadcast Australia Site Summit Road CRAFERS","0","0","0","34 58 44S","138 42 31E","SA","","","","Issued"
"Adelaide","5SSA","107.1","Commercial","M","66","DA","20000","3037001","10093101","23181","TXA Crafers Site Tower 115 Mount Lofty Summit Road CRAFERS","0","0","0","34 58 52S","138 42 29E","SA","3037","ADELAIDE RA1","","Issued"
"Adelaide","5SSA","107.1","Commercial","V","73","DA","690","3037001","10093101","9024286","Southern Cross Austereo 70 Franklin Street ADELAIDE","0","0","0","34 55 40S","138 35 49E","SA","3037","ADELAIDE RA1","","Issued"
"Adelaide","5SSA","107.1","Commercial","M","60","DA","20000","3037001","1384849","23132","TXA NWS Site Tower 109 Summit Road CRAFERS","0","0","0","34 58 57S","138 42 30E","SA","3037","ADELAIDE RA1","","Expired"
"Adelaide","5SSA","107.1","Commercial","M","60","DA","20000","3037001","10093101","23132","TXA NWS Site Tower 109 Summit Road CRAFERS","0","0","0","34 58 57S","138 42 30E","SA","3037","ADELAIDE RA1","","Issued"
"Adelaide","5RAM","107.9","Community","M","60","DA","20000","5269001","1569070","23139","Broadcast Australia Site Summit Road CRAFERS","0","0","0","34 58 44S","138 42 31E","SA","5269","ADELAIDE RA1","","Issued"
"Adelaide Foothills","5SSA/T","90.3","Commercial","M","90","DA","2000","10010138","1384850","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","3037","ADELAIDE RA1","","Expired"
"Adelaide Foothills","5SSA","90.3","Commercial","M","90","DA","2000","10010138","10093104","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","3037","ADELAIDE RA1","","Issued"
"Adelaide Foothills","5SBSFM","95.1","National","M","90","DA","2000","6879002","1198598","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","","","","Issued"
"Adelaide Foothills","5JJJ","95.9","National","M","90","DA","2000","3997002","1150209","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","","","","Issued"
"Adelaide Foothills","5ADD","96.7","Commercial","M","90","DA","2000","4191002","1911524","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","4191","ADELAIDE RA1","","Issued"
"Adelaide Foothills","5ABCFM","97.5","National","M","90","DA","2000","3021002","1150210","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","","","","Issued"
"Adelaide Foothills","5MMM","98.3","Commercial","M","90","DA","2000","4192002","1384848","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","4192","ADELAIDE RA1","","Issued"
"Adelaide Foothills","5ADL","99.1","Commercial","M","90","DA","2000","10010795","1170891","22155","Broadcast Site 77 Grenfell Street ADELAIDE","0","0","0","34 55 29S","138 36 10E","SA","1150783","ADELAIDE RA1","","Issued"
"Adelaide Foothills","5MBS","99.9","Community","M","55","OD","2500","1134392","1170716","22129","Bcast / Comms Masts  Rooftop  Grand Chifley Hotel 208 South Terrace ADELAIDE","0","0","0","34 56 6S","138 36 16E","SA","1150742","ADELAIDE FOOTHILLS RA1","","Issued"
