,Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Status,Deg,Min,Sec,Deg1,Min1,Sec1,Latitude in degrees,Longitude in degrees
0,Adelaide,5ADL,91.9,Commercial,M,60,DA,20000.0,10010794,1170890,23139,Broadcast Australia Site Summit Road CRAFERS,0,0,0,34 58 44S,138 42 31E,SA,1150783.0,ADELAIDE RA1,,Issued,34,58,44,138,42,31,34.97888888888889,138.7086111111111
1,Adelaide,5FBI,92.7,Community,M,45,DA,20000.0,3371001,1170715,23158,FM tower Broadcast Australia site Summit Road CRAFERS,0,0,0,34 58 48S,138 42 28E,SA,1150740.0,ADELAIDE RA1,,Issued,34,58,48,138,42,28,34.980000000000004,138.70777777777778
2,Adelaide,5DDD,93.7,Community,M,45,OD,6300.0,3076001,1385198,23158,FM tower Broadcast Australia site Summit Road CRAFERS,0,0,0,34 58 48S,138 42 28E,SA,3076.0,ADELAIDE RA1,,Issued,34,58,48,138,42,28,34.980000000000004,138.70777777777778
3,Adelaide,5UV,101.5,Community,M,60,DA,20000.0,6457001,1156865,23139,Broadcast Australia Site Summit Road CRAFERS,0,0,0,34 58 44S,138 42 31E,SA,4229.0,ADELAIDE RA1,,Issued,34,58,44,138,42,31,34.97888888888889,138.7086111111111
4,Adelaide,5ADD,102.3,Commercial,M,60,DA,20000.0,4191001,1911525,23132,TXA NWS Site Tower 109 Summit Road CRAFERS,0,0,0,34 58 57S,138 42 30E,SA,4191.0,ADELAIDE RA1,,Issued,34,58,57,138,42,30,34.9825,138.70833333333331
5,Adelaide,5EBI,103.1,Community,M,45,DA,20000.0,3074002,1385199,23158,FM tower Broadcast Australia site Summit Road CRAFERS,0,0,0,34 58 48S,138 42 28E,SA,3074.0,ADELAIDE RA1,,Issued,34,58,48,138,42,28,34.980000000000004,138.70777777777778
6,Adelaide,5ABCFM,103.9,National,M,104,OD,32000.0,3021001,1198423,23139,Broadcast Australia Site Summit Road CRAFERS,0,0,0,34 58 44S,138 42 31E,SA,,,,Issued,34,58,44,138,42,31,34.97888888888889,138.7086111111111
7,Adelaide,5MMM,104.7,Commercial,M,66,DA,20000.0,4192601,1153756,23181,TXA Crafers Site Tower 115 Mount Lofty Summit Road CRAFERS,0,0,0,34 58 52S,138 42 29E,SA,4192.0,ADELAIDE RA1,,Issued,34,58,52,138,42,29,34.98111111111111,138.70805555555555
8,Adelaide,5MMM,104.7,Commercial,V,73,DA,690.0,4192601,1153756,9024286,Southern Cross Austereo 70 Franklin Street ADELAIDE,0,0,0,34 55 40S,138 35 49E,SA,4192.0,ADELAIDE RA1,,Issued,34,55,40,138,35,49,34.92777777777778,138.59694444444446
9,Adelaide,5MMM,104.7,Commercial,M,60,DA,20000.0,4192601,1153756,23132,TXA NWS Site Tower 109 Summit Road CRAFERS,0,0,0,34 58 57S,138 42 30E,SA,4192.0,ADELAIDE RA1,,Issued,34,58,57,138,42,30,34.9825,138.70833333333331
