Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-34.9788888888889,138.708611111111,91.9,32800.0
-34.98,138.707777777778,92.7,32800.0
-34.98,138.707777777778,93.7,10332.0
-34.9788888888889,138.708611111111,101.5,32800.0
-34.9825,138.708333333333,102.3,32800.0
-34.98,138.707777777778,103.1,32800.0
-34.9788888888889,138.708611111111,103.9,52480.0
-34.9811111111111,138.708055555556,104.7,32800.0
-34.9277777777778,138.596944444444,104.7,1131.6
-34.9825,138.708333333333,104.7,32800.0
-34.9788888888889,138.708611111111,105.5,52480.0
-34.9788888888889,138.708611111111,106.3,52480.0
-34.9811111111111,138.708055555556,107.1,32800.0
-34.9277777777778,138.596944444444,107.1,1131.6
-34.9825,138.708333333333,107.1,32800.0
-34.9825,138.708333333333,107.1,32800.0
-34.9788888888889,138.708611111111,107.9,32800.0
-34.9247222222222,138.602777777778,90.3,3280.0
-34.9247222222222,138.602777777778,90.3,3280.0
-34.9247222222222,138.602777777778,95.1,3280.0
-34.9247222222222,138.602777777778,95.9,3280.0
-34.9247222222222,138.602777777778,96.7,3280.0
-34.9247222222222,138.602777777778,97.5,3280.0
-34.9247222222222,138.602777777778,98.3,3280.0
-34.9247222222222,138.602777777778,99.1,3280.0
-34.935,138.604444444444,99.9,4100.0
-34.9988888888889,138.6225,99.9,656.0
-13.2447222222222,131.109166666667,98.1,82.0
-13.2444444444444,131.109166666667,98.9,82.0
-13.2444444444444,131.109166666667,100.5,82.0
-13.2447222222222,131.109166666667,101.3,82.0
-13.2447222222222,131.109166666667,102.1,82.0
-35.055,138.539166666667,88.7,984.0
-35.3047222222222,148.094722222222,94.1,32.8
-24.2161111111111,151.895833333333,98.3,410.0
-20.2730555555556,148.710277777778,89.9,262.4
-20.2730555555556,148.710277777778,90.7,410.0
-20.2730555555556,148.710277777778,91.5,410.0
-20.2730555555556,148.710277777778,92.3,410.0
-20.2730555555556,148.710277777778,93.1,262.4
-20.2730555555556,148.710277777778,93.9,410.0
-20.2730555555556,148.710277777778,94.7,410.0
-20.2730555555556,148.710277777778,95.5,262.4
-34.6569444444444,117.646944444444,93.7,8200.0
-34.6558333333333,117.6475,95.3,82000.0
-35.0247222222222,117.894722222222,100.9,13120.0
-35.0177777777778,117.870833333333,104.9,164.0
-35.0177777777778,117.870833333333,106.5,164.0
-36.08,146.913611111111,99.3,16.4
-36.02,146.961944444444,101.7,3280.0
-36.2536111111111,146.855,104.9,164000.0
-36.2536111111111,146.855,105.7,164000.0
-36.02,146.961944444444,107.3,3280.0
-37.0766666666667,145.573055555556,102.9,4920.0
-37.0766666666667,145.573055555556,104.5,4920.0
-37.2091666666667,145.841666666667,93.7,1640.0
-37.2091666666667,145.841666666667,106.9,1640.0
-37.1911111111111,145.710277777778,106.9,656.0
-19.0561111111111,136.708611111111,105.5,32.8
-21.0025,134.407222222222,103.7,32.8
-21.0025,134.407222222222,106.1,32.8
-23.7225,133.856944444444,94.9,656.0
-23.7225,133.856944444444,95.9,1640.0
-23.7225,133.856944444444,96.9,656.0
-23.7225,133.856944444444,97.9,1312.0
-23.7225,133.8575,98.7,1640.0
-23.7225,133.856944444444,99.7,656.0
-23.7225,133.8575,100.5,1312.0
-23.7225,133.856944444444,102.1,656.0
-23.7225,133.856944444444,104.1,1640.0
-23.6511111111111,146.630833333333,95.9,164.0
-23.6511111111111,146.630833333333,100.7,41.0
-23.6511111111111,146.630833333333,102.3,49.2
-23.6177777777778,146.63,105.7,82.0
-23.6177777777778,146.63,107.3,82.0
-13.8505555555556,136.425277777778,98.1,820.0
-13.8502777777778,136.425277777778,102.1,328.0
-13.8502777777778,136.425277777778,106.1,262.4
-13.8502777777778,136.425277777778,107.7,262.4
-26.15,131.146111111111,106.1,16.4
-12.9286111111111,141.633888888889,93.3,82.0
-12.9286111111111,141.633888888889,94.1,82.0
-12.9286111111111,141.633888888889,94.9,82.0
-12.9286111111111,141.633888888889,97.3,82.0
-12.9286111111111,141.633888888889,98.1,82.0
-12.9286111111111,141.633888888889,98.9,82.0
-12.9286111111111,141.633888888889,99.7,82.0
-30.4733333333333,137.166666666667,105.9,82.0
-30.4733333333333,137.166666666667,107.5,82.0
-34.4952777777778,139.061944444444,90.7,164.0
-34.4952777777778,139.061944444444,92.3,164.0
-34.4952777777778,139.061944444444,94.7,164.0
-38.7591666666667,143.664166666667,88.7,164.0
-38.78,143.651388888889,89.5,328.0
-38.6730555555555,143.722777777778,95.9,410.0
-38.78,143.651388888889,97.9,410.0
-22.9680555555556,145.243055555556,98.1,82.0
-22.9680555555556,145.243055555556,99.7,49.2
-22.9655555555556,145.247777777778,107.9,82.0
-37.2702777777778,142.891944444444,92.9,82.0
-37.2702777777778,142.891944444444,98.5,1640.0
-16.7097222222222,128.395555555556,102.7,131.2
-16.7097222222222,128.395555555556,104.3,82.0
-16.7097222222222,128.395555555556,105.9,82.0
-16.7097222222222,128.395555555556,107.5,82.0
-34.3477777777778,147.22,106.9,82.0
-32.0925,116.034722222222,107.3,328.0
-30.5441666666667,151.651666666667,92.1,3280.0
-30.3761111111111,151.601388888889,100.3,16400.0
-30.3772222222222,151.601944444444,101.1,16400.0
-30.3772222222222,151.601944444444,101.9,16400.0
-30.3772222222222,151.601944444444,102.7,6560.0
-30.3772222222222,151.601944444444,103.5,16400.0
-30.3761111111111,151.601388888889,104.3,16400.0
-30.5233333333333,151.663333333333,106.9,16.4
-33.9483333333333,137.670555555556,89.3,8200.0
-29.3297222222222,151.118888888889,107.9,82.0
-17.2230555555556,145.447222222222,88.7,3280.0
-17.2225,145.4475,97.9,8200.0
-17.2230555555556,145.447222222222,99.1,3280.0
-25.7952777777778,146.5875,104.5,164.0
-25.7952777777778,146.5875,106.1,164.0
-25.7952777777778,146.5875,106.1,164.0
-25.8063888888889,146.588888888889,107.7,164.0
-34.3141666666667,115.156111111111,97.1,328.0
-34.3275,115.162222222222,98.3,65.6
-34.3275,115.162222222222,99.1,65.6
-34.3238888888889,115.159722222222,101.5,131.2
-34.3275,115.162222222222,101.5,131.2
-13.3555555555556,141.729722222222,107.7,16.4
-19.7455555555556,147.495833333333,92.3,1640.0
-19.7455555555556,147.495833333333,93.1,1640.0
-19.7455555555556,147.495833333333,97.1,164.0
-15.9205555555556,145.346944444444,103.9,8.2
-15.9205555555556,145.346944444444,107.1,49.2
-17.3830555555556,146.003055555556,94.1,656.0
-17.3830555555556,146.003055555556,94.9,656.0
-17.3830555555556,146.003055555556,95.7,656.0
-17.3830555555556,146.003055555556,102.5,656.0
-37.6891666666667,144.376944444444,98.5,656.0
-37.6533333333333,144.4225,98.5,656.0
-30.3911111111111,115.499166666667,100.3,16.4
-10.1586111111111,142.167777777778,107.5,16.4
-37.7055555555556,147.560555555556,97.5,3280.0
-37.7061111111111,147.560555555556,98.3,8200.0
-37.7061111111111,147.560555555556,99.9,8200.0
-37.7055555555556,147.560555555556,105.5,524.8
-37.7055555555556,147.560555555556,106.3,3280.0
-37.7055555555556,147.560555555556,107.9,3280.0
-20.1419444444444,127.982777777778,106.1,32.8
-37.2825,143.247777777778,105.5,164000.0
-37.2825,143.247777777778,107.1,164000.0
-37.2825,143.247777777778,107.9,164000.0
-37.5752777777778,143.960277777778,94.3,8200.0
-37.5766666666667,143.9575,95.9,1640.0
-37.5766666666667,143.9575,99.9,4920.0
-37.5752777777778,143.960277777778,102.3,32800.0
-37.5752777777778,143.960277777778,103.1,32800.0
-37.5766666666667,143.9575,103.9,4920.0
-27.3997222222222,141.804722222222,102.7,65.6
-27.3891666666667,141.809722222222,104.3,65.6
-27.3997222222222,141.804722222222,105.9,65.6
-28.8630555555556,153.583333333333,101.9,1640.0
-34.6397222222222,143.565555555556,93.1,82.0
-34.64,143.562777777778,97.1,41.0
-24.4486111111111,150.316111111111,88.9,820.0
-24.4486111111111,150.316111111111,89.7,820.0
-33.9191666666667,151.010833333333,100.9,278.8
-23.5566666666667,145.293055555556,97.7,164.0
-23.5566666666667,145.293055555556,100.9,164.0
-23.5283333333333,145.259166666667,103.3,82.0
-23.5566666666667,145.293055555556,105.7,164.0
-23.5283333333333,145.259166666667,107.3,164.0
-35.625,144.125277777778,94.9,16.4
-34.5716666666667,139.005833333333,89.1,1640.0
-34.5716666666667,139.005833333333,90.5,1640.0
-41.4905555555556,146.184444444444,94.9,820.0
-41.4905555555556,146.184444444444,97.3,820.0
-41.4905555555556,146.184444444444,97.3,820.0
-31.9625,151.946388888889,93.7,328.0
-31.9625,151.946388888889,97.7,328.0
-20.8177777777778,115.438333333333,99.1,32.8
-20.8177777777778,115.438333333333,100.7,32.8
-20.8177777777778,115.438333333333,102.3,32.8
-20.8177777777778,115.438333333333,103.9,32.8
-20.8177777777778,115.438333333333,105.5,32.8
-20.8177777777778,115.438333333333,107.1,32.8
-14.5247222222222,132.866944444444,101.7,32.8
-14.5247222222222,132.866944444444,102.5,49.2
-14.5247222222222,132.866944444444,106.1,16.4
-13.0455555555556,131.026666666667,92.1,32.8
-13.0455555555556,131.026666666667,92.9,32.8
-13.0455555555556,131.026666666667,93.7,16.4
-35.73,150.186388888889,96.3,164.0
-35.7961111111111,150.005555555556,100.5,90200.0
-35.7961111111111,150.005555555556,101.9,90200.0
-35.7961111111111,150.005555555556,103.5,90200.0
-35.7961111111111,150.005555555556,104.3,32800.0
-35.7961111111111,150.005555555556,105.1,90200.0
-35.7961111111111,150.005555555556,105.9,32800.0
-33.4313888888889,149.805833333333,95.1,13120.0
-33.4313888888889,149.805833333333,99.3,16400.0
-33.4152777777778,149.581111111111,99.3,164.0
-33.4316666666667,149.808611111111,100.1,16400.0
-33.4316666666667,149.808611111111,100.9,16400.0
-33.4502777777778,149.5475,91.1,328.0
-33.4502777777778,149.5475,92.3,1640.0
-33.4505555555556,149.547222222222,95.9,328.0
-33.4505555555556,149.547222222222,96.7,328.0
-33.4505555555556,149.547222222222,97.5,328.0
-33.4505555555556,149.547222222222,98.3,328.0
-11.7758333333333,130.567777777778,91.3,246.0
-11.7758333333333,130.567777777778,92.9,246.0
-11.7758333333333,130.567777777778,95.3,123.0
-11.7605555555556,130.638611111111,98.9,41.0
-35.5458333333333,148.199166666667,92.5,164.0
-30.4613888888889,117.893055555556,94.1,164.0
-16.9861111111111,122.664166666667,106.1,32.8
-27.9263888888889,153.040555555556,89.7,8200.0
-27.9263888888889,153.040555555556,90.5,328.0
-27.9263888888889,153.040555555556,92.1,328.0
-27.9963888888889,153.026388888889,101.5,1640.0
-24.3616666666667,139.468333333333,99.7,41.0
-24.3616666666667,139.468333333333,102.9,41.0
-24.3583333333333,139.471666666667,106.1,82.0
-24.3583333333333,139.471666666667,107.7,82.0
