Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-10.07333333,-67.70647,94.1,789986
-10.94138889,-69.95669,90.9,3
-11.01527778,-68.87439,90.3,3
-9.830555556,-67.79522,88.7,3
-10.57277778,-67.76756,88.5,3
-7.638888889,-72.2675,99.9,1
-7.635830556,-72.267361,100.9,50388
-7.631666667,-72.26694,107.9,1
-11.02888889,-68.87414,99.5,5
-8.170833333,-70.03575,89.5,60425
-9.434166667,-71.18839,88.5,3
-8.843611111,-69.92636,88.5,3
-8.941111111,-72.27917,88.5,3
-10.3325,-67.71872,95.5,3
-9.733055556,-67.76914,89.7,3
-8.265277778,-72.27419,90.1,51955
-9.988611111,-67.78178,93.3,1
-9.958888889,-67.78392,94.7,3
-9.9725,-67.78103,96.9,1
-9.94,-67.78319,98.1,1
-9.970277778,-67.78094,107.9,5
-7.741666667,-72.26361,88.9,3
-9.432777778,-70.04933,88.5,3
-9.074722222,-68.86703,105.9,3
-10.15138889,-67.77381,106.5,5
-8.162222222,-70.07783,95.5,3
-10.65416667,-68.85028,89.5,3
-9.260833333,-37.79361,88.9,3
-9.684444444,-36.63042,93.7,3
-9.728833333,-36.66395,96.9,30
-9.728333333,-36.66403,101.1,50
-9.728333333,-36.664,101.9,15
-9.725555556,-36.66403,103.3,30
-9.728888889,-36.663917,105.3,189019
-9.7525,-36.66611,106.9,3
-9.501944444,-36.60228,88.7,3
-9.404722222,-35.55072,89.7,3
-9.84,-35.59078,91.7,3
-9.677777778,-37.71247,99.9,3
-9.641388889,-36.62203,89.7,3
-9.245555556,-36.60153,92.1,3
-9.396666667,-36.61536,91.1,3
-9.116944444,-37.76022,89.5,3
-9.4825,-37.73772,91.7,3
-8.908888889,-35.5725,88.7,3
-9.639119444,-35.580021,104.5,348714
-10.12138889,-36.61781,104.3,3
-9.388611111,-37.79992,89.9,15
-9.388380556,-38.800797,91.9,18259
-9.390277778,-36.676,96.1,3
-10.29194444,-36.63061,89.9,3
-9.884166667,-36.68289,90.9,3
-8.9725,-35.59394,95.1,3
-10.12527778,-36.66619,96.1,3
-9.221388889,-37.77486,90.3,3
-9.635555556,-37.72047,97.9,3
-8.841666667,-35.546,91.3,3
-9.088333333,-35.52583,89.9,3
-9.13015,-35.575912,90.5,1251
-8.934722222,-35.55736,93.1,3
-9.665833333,-35.57353,89.3,3
-9.661388889,-35.573222,94.1,360062
-9.648611111,-35.572,96.5,5
-9.65,-35.575,97.7,100
-9.618777778,-35.57145,100.3,5
-9.661666667,-35.57314,103.7,50
-9.665833333,-35.57353,105.5,15
-9.640555556,-35.57367,107.7,3
-9.528333333,-35.56017,97.9,3
-9.008719444,-35.522197,97.3,59953
-9.235555556,-37.735,90.1,3
-9.695833333,-35.58222,99.1,3
-9.659722222,-35.57319,102.7,50
-9.577222222,-36.63053,107.1,3
-9.1175,-37.77322,89.1,3
-9.144069444,-35.551953,91.7,794
-9.383333333,-35.58417,90.9,3
-9.31655,-35.594334,88.5,722
-8.915,-35.56467,98.1,3
-9.536111111,-37.72939,89.7,3
-9.501944444,-37.78339,92.3,3
-10.05833333,-36.68167,94.9,3
-9.518611111,-37.71906,92.1,3
-9.166666667,-37.73567,89.3,3
-9.671944444,-37.73292,94.7,3
-9.395,-36.66422,92.5,3
-9.399722222,-36.66406,104.1,3
-9.407222222,-36.66275,107.3,3
-9.748333333,-37.74367,96.3,3
-9.252777778,-38.80047,93.1,3
-9.465,-35.55517,91.5,3
-9.238333333,-35.54933,88.9,3
-10.28111111,-36.656556,99.1,3
-10.28111111,-36.65578,97.3,15
-10.29027778,-36.65864,106.3,3
-10.40555556,-36.64344,88.5,3
-9.597222222,-35.59567,90.7,3
-9.475277778,-36.629,92.7,3
-9.623611111,-37.77567,88.5,3
-9.045,-35.53983,101.7,3
-9.158333333,-35.5295,88.5,3
-10.17701944,-36.682658,98.5,3733
-9.318888889,-36.64711,89.9,3
-9.528611111,-35.57994,90.1,5
-9.351111111,-37.72061,90.7,5
-9.009722222,-36.60583,89.7,3
-9.558333333,-37.73811,88.9,3
-9.318333333,-35.55611,98.5,3
-9.790555556,-36.6095,99.5,3
-9.265555556,-35.53731,90.7,3
-9.466388889,-37.74569,91.1,3
-9.531944444,-36.64328,93.5,3
-9.645,-36.64972,92.1,3
-9.920830556,-36.642139,88.3,484
