Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
39.5837777777778,240.200388888889,87.9,45.92
35.524475,139.6640917,76.5,6068.0
35.69739444,140.0465694,78.0,37720.0
35.57764722,139.6580361,79.1,149.24
35.95875278,139.2100667,79.5,60680.0
35.65861389,139.7454222,80.0,205000.0
35.69739444,140.0465694,80.7,41000.0
35.70998056,139.8106528,81.3,93480.0
35.36028333,139.5959,81.9,31160.0
35.70998056,139.8106528,82.5,93480.0
35.62687778,139.6313778,83.4,68.88
35.44006667,139.2312167,84.7,34440.0
35.85259722,139.6148833,85.1,67240.0
35.66885,139.7060389,87.6,27.88
35.66015278,139.7292944,88.3,180.4
35.61006389,139.7291861,88.9,49.2
35.65861389,139.7454222,89.7,21320.0
35.70998056,139.8106528,90.5,93480.0
35.70998056,139.8106528,91.6,93480.0
35.36028333,139.5959,92.4,67240.0
35.70998056,139.8106528,93.0,93480.0
52.45784722,181.626151,94.8,1804.0
52.08161111,181.7285306,103.7,1148.0
52.54010833,181.50455,104.0,82.0
51.55085833,0.5811,95.3,1649.84
51.80190278,0.71088611,95.3,9840.0
49.71795,182.1892972,103.5,41.0
49.45778889,182.5792028,99.0,820.0
51.99743333,182.5398889,93.2,1640.0
52.36325,182.2827944,94.7,410.0
52.29453611,181.9468778,104.6,164.0
52.11571389,182.3301472,104.4,1640.0
52.89240556,180.6559722,104.0,82.0
53.33581389,180.1719833,104.7,4920.0
51.42416111,180.0749444,94.9,3280.0
