Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
54.135,345.772777777778,88.1,90.0
61.3357777777778,329.515611111111,88.1,155.0
61.3358333333333,329.515527777778,88.1,155.0
60.0651944444444,328.012305555556,88.1,21.0
61.5286111111111,345.591222222222,88.1,
60.5533333333333,325.733638888889,88.1,23.0
54.8557777777778,343.414194444444,88.1,90.0
64.7421388888889,336.844138888889,88.1,100.0
58.4174166666667,315.710138888889,88.1,51.0
58.3011111111111,314.442222222222,88.1,1700.0
70.1264722222222,323.621666666667,88.1,39.0
60.5219166666667,331.073333333333,88.1,1100.0
55.3535555555556,311.684194444444,88.1,90.0
55.0602222222222,342.328666666667,88.1,250.0
70.2138333333333,330.990583333333,88.1,200.0
69.7293888888889,343.016527777778,88.1,48.0
56.32075,313.029194444444,88.1,54.0
60.10275,329.438805555556,88.1,49.0
60.8683333333333,326.681722222222,88.1,23.0
33.6953611111111,266.517472222222,88.1,1500.0
33.3959444444444,267.018611111111,88.1,
34.8189722222222,266.738611111111,88.1,3500.0
35.7978333333333,271.67125,88.1,250.0
36.3936944444444,274.181583333333,88.1,
35.2031388888889,270.565944444444,88.1,4200.0
33.5365,272.468777777778,88.1,
35.9013888888889,272.616111111111,88.1,6200.0
-14.3225,350.763055555556,88.1,1500.0
34.4886,292.538433333333,88.1,3310.0
34.4146944444444,292.404527777778,88.1,8.0
34.42225,290.566222222222,88.1,205.0
34.9180833333333,290.140944444444,88.1,250.0
34.9180833333333,290.140944444444,88.1,50.0
35.8080555555556,290.27375,88.1,
32.2489444444444,291.116972222222,88.1,
34.3423055555556,292.101894444444,88.1,
34.2878055555555,291.193444444444,88.1,
31.3484444444444,289.480055555556,88.1,1500.0
34.4900555555556,292.533888888889,88.1,2350.0
34.4900277777778,292.533861111111,88.1,100.0
33.6675277777778,294.059916666667,88.1,13.0
33.7630833333333,289.961472222222,88.1,630.0
32.642,294.560222222222,88.1,
34.0377777777778,296.814194444444,88.1,114.0
38.0068611111111,302.143833333333,88.1,4.0
38.3618333333333,302.979694444444,88.1,100.0
41.6368333333333,300.092138888889,88.1,270.0
35.4799444444444,297.683944444444,88.1,9.0
37.9054722222222,302.293833333333,88.1,17.0
40.7273611111111,303.972555555556,88.1,
39.4673611111111,303.760555555556,88.1,99.0
37.073,299.431777777778,88.1,2400.0
38.9896111111111,302.769138888889,88.1,300.0
34.9099722222222,300.187083333333,88.1,2500.0
34.6035833333333,300.489055555556,88.1,66.0
33.7994722222222,298.162833333333,88.1,
37.1638333333333,301.918277777778,88.1,9.0
34.3673361111111,296.927511111111,88.1,
34.7094444444444,296.151388888889,88.1,
33.5396944444444,296.026361111111,88.1,185.0
35.1221944444444,298.207861111111,88.1,10500.0
41.2218055555556,302.308611111111,88.1,1200.0
38.2640833333333,302.216083333333,88.1,10.0
39.9371111111111,300.948555555556,88.1,500.0
33.3083611111111,296.848888888889,88.1,10.0
33.6175277777778,294.773305555556,88.1,50.0
38.2471388888889,301.501888888889,88.1,8400.0
37.9710277777778,302.514138888889,88.1,7.0
37.0027222222222,302.052166666667,88.1,
37.0027222222222,302.052166666667,88.1,900.0
38.9165833333333,299.963222222222,88.1,19.0
39.3259444444444,300.19975,88.1,65.0
39.63025,286.0475,88.1,125.0
40.2552777777778,283.633888888889,88.1,
39.2947222222222,282.26075,88.1,205.0
39.4188611111111,287.370027777778,88.1,1070.0
39.0666388888889,288.745388888889,88.1,300.0
37.23725,284.514972222222,88.1,10.0
39.7327777777778,285.236111111111,88.1,4400.0
38.4222222222222,285.151944444444,88.1,30.0
38.8860833333333,284.890527777778,88.1,99.0
37.1966666666667,287.117527777778,88.1,
38.4466388888889,286.010555555556,88.1,200.0
40.5325,283.123277777778,88.1,75.0
40.0733055555556,282.234611111111,88.1,100.0
41.5534166666667,252.657583333333,88.1,
41.3189722222222,253.253166666667,88.1,
41.3416388888889,253.274444444444,88.1,175.0
41.3189722222222,253.253166666667,88.1,330.0
39.7576111111111,255.666861111111,88.1,88.0
27.1319722222222,262.393972222222,88.1,100000.0
29.8093888888889,262.607055555556,88.1,110.0
25.5403611111111,260.468388888889,88.1,165.0
30.2763611111111,261.563972222222,88.1,
29.2380277777778,262.120916666667,88.1,1250.0
30.4038055555556,266.99275,88.1,100000.0
30.5438333333333,267.220194444444,88.1,7500.0
24.9903888888889,260.540611111111,88.1,100.0
28.6218611111111,262.550277777778,88.1,
28.6136111111111,262.501388888889,88.1,2800.0
28.5821666666667,262.528944444444,88.1,540.0
28.55825,262.529972222222,88.1,
26.5892222222222,260.212,88.1,50.0
34.1056666666667,263.930194444444,88.1,19.0
31.54575,262.891527777778,88.1,13.0
34.0120555555556,263.29375,88.1,
32.0635555555556,261.048722222222,88.1,5500.0
32.3557222222222,262.618472222222,88.1,
30.6685277777778,263.969333333333,88.1,
32.8523611111111,264.701027777778,88.1,100000.0
34.0664722222222,264.453805555556,88.1,9.0
13.4880555555556,324.831388888889,88.1,
22.1825,339.333055555556,88.1,3300.0
19.7011666666667,335.061388888889,88.1,
19.6966666666667,335.051388888889,88.1,230.0
21.3334722222222,337.81475,88.1,
21.3366666666667,337.8175,88.1,3500.0
21.9588333333333,339.361583333333,88.1,250.0
21.5104444444444,338.145555555556,88.1,
40.7672777777778,270.924166666667,88.1,
40.7524833333333,271.126136111111,88.1,
41.5835833333333,273.641305555556,88.1,5200.0
41.5838888888889,273.641527777778,88.1,5200.0
42.4907777777778,274.2005,88.1,200.0
41.0339166666667,272.409638888889,88.1,10500.0
42.6683055555556,274.993333333333,88.1,
42.5124722222222,272.3235,88.1,9500.0
40.6319444444444,271.433611111111,88.1,16500.0
42.7299166666667,294.419194444444,88.1,
43.6206944444445,297.210694444444,88.1,
42.9167777777778,292.430972222222,88.1,
43.7993611111111,291.776361111111,88.1,170.0
40.4772222222222,268.553888888889,88.1,1500.0
40.4911388888889,268.993666666667,88.1,120.0
42.1058611111111,268.377305555556,88.1,
39.47725,268.140305555556,88.1,2100.0
41.8728055555556,267.647805555556,88.1,90.0
41.4214166666667,267.644222222222,88.1,90.0
39.80975,268.992027777778,88.1,
41.47975,270.269,88.1,
40.7822777777778,267.930430555556,88.1,340.0
37.7175,268.543611111111,88.1,4800.0
39.7217222222222,270.195944444444,88.1,27.0
41.8125277777778,267.880888888889,88.1,180.0
41.6028055555556,268.080333333333,88.1,140.0
38.6972777777778,268.036972222222,88.1,2900.0
40.0014444444444,269.697055555556,88.1,
41.9555833333333,267.867277777778,88.1,300.0
41.29225,269.133138888889,88.1,
41.8691944444444,268.098944444444,88.1,250.0
41.3225,268.109444444444,88.1,
42.0941388888889,267.719027777778,88.1,47.0
41.6136666666667,266.188888888889,88.1,11500.0
38.7639166666667,266.520805555556,88.1,
39.7061388888889,265.494638888889,88.1,6300.0
39.7060833333333,265.494666666667,88.1,6300.0
38.2989444444444,265.812444444444,88.1,2850.0
39.0683888888889,265.266083333333,88.1,500.0
38.6839444444444,267.435583333333,88.1,13.0
40.1500277777778,266.903888888889,88.1,
39.3511111111111,281.054055555556,88.1,
37.7796944444444,280.061055555555,88.1,
37.8044722222222,276.884194444444,88.1,400.0
38.0010833333333,281.001555555556,88.1,
38.3627777777778,278.76425,88.1,900.0
38.9580555555556,279.352222222222,88.1,2500.0
38.0544444444444,277.930888888889,88.1,570.0
38.0738888888889,277.343361111111,88.1,150.0
39.0391666666667,275.449972222222,88.1,
37.5467222222222,281.303888888889,88.1,500.0
36.9603333333333,266.546944444444,88.1,
36.8100277777778,268.359194444444,88.1,2300.0
37.2916944444444,267.108305555556,88.1,27.0
37.5961666666667,264.838555555556,88.1,170.0
36.8014722222222,263.376833333333,88.1,
37.5382777777778,265.729027777778,88.1,
38.0386944444444,264.504388888889,88.1,7900.0
38.0609166666667,263.955472222222,88.1,300.0
36.7697222222222,263.568833333333,88.1,3500.0
37.07675,264.810777777778,88.1,
31.5654444444444,272.550138888889,88.1,15500.0
30.1918611111111,272.621527777778,88.1,250.0
30.2615833333333,271.311222222222,88.1,
42.3616944444444,251.085527777778,88.1,640.0
41.285,250.139722222222,88.1,350.0
41.6376111111111,250.871416666667,88.1,300.0
42.2375833333333,251.808111111111,88.1,100.0
39.3315,256.657472222222,88.1,15500.0
38.9831388888889,256.943305555556,88.1,10.0
39.4920555555556,257.499722222222,88.1,
38.1454166666667,256.372444444444,88.1,1100.0
44.1078611111111,249.924222222222,88.1,100.0
43.3561944444445,250.484777777778,88.1,100.0
43.4181111111111,250.800638888889,88.1,18100.0
43.9005555555556,265.7595,88.1,55.0
42.5778055555556,263.286027777778,88.1,360.0
44.2488888888889,265.313388888889,88.1,10.0
45.7469444444445,267.077777777778,88.1,
45.17,264.751138888889,88.1,
43.1755277777778,263.067333333333,88.1,
43.1750277777778,263.067166666667,88.1,400.0
44.7033333333333,263.524138888889,88.1,1.0
42.4080833333333,263.091583333333,88.1,12.0
45.8181527777778,268.065736111111,88.1,130.0
44.2890833333333,264.742333333333,88.1,3150.0
42.7056666666667,264.357583333333,88.1,33400.0
42.7055833333333,264.357472222222,88.1,6700.0
41.9189166666667,263.376027777778,88.1,1200.0
41.9189444444444,263.376055555556,88.1,
42.3494722222222,263.495777777778,88.1,300.0
45.7797222222222,267.140472222222,88.1,
